"","x"
"1626",8
"1627",24
"1628",31
"1629",28
"1630",20
"1631",30
"1632",26
"1633",45
"1634",31
"1635",61
"1636",31
"1637",27
"1638",54
"1639",4
"1640",13
"1641",0
"1642",56
"1643",18
"1644",15
"1645",13
"1646",20
"1647",42
"1648",35
"1649",61
"1650",22
"1651",17
"1652",10
"1653",42
"1654",2
"1655",12
"1656",17
"1657",38
"1658",18
"1659",5
"1660",25
"1661",15
"1662",10
"1663",32
"1664",14
"1665",28
"1666",23
"1667",38
"1668",35
"1669",9
"1670",14
"1671",25
"1672",25
"1673",6
"1674",44
"1675",9
"1676",22
"1677",14
"1678",14
"1679",11
"1680",28
"1681",23
"1682",28
"1683",13
"1684",70
"1685",55
"1686",17
"1687",47
"1688",9
"1689",18
"1690",16
"1691",26
"1692",17
"1693",21
"1694",25
"1695",15
"1696",5
"1697",18
"1698",48
"1699",38
"1700",1
"1701",40
"1702",12
"1703",33
"1704",10
"1705",32
"1706",21
"1707",69
"1708",19
"1709",20
"1710",50
"1711",28
"1712",10
"1713",17
"1714",24
"1715",53
"1716",55
"1717",11
"1718",37
"1719",11
"1720",14
"1721",25
"1722",39
"1723",25
"1724",28
"1725",15
"1726",25
"1727",12
"1728",98
"1729",18
"1730",18
"1731",27
"1732",31
"1733",20
"1734",9
"1735",5
"1736",16
"1737",32
"1738",49
"1739",29
"1740",12
"1741",21
"1742",15
"1743",13
"1744",13
"1745",24
"1746",12
"1747",14
"1748",21
"1749",35
"1750",22
"1751",19
"1752",23
"1753",25
"1754",15
"1755",23
"1756",9
"1757",7
"1758",33
"1759",38
"1760",8
"1761",23
"1762",19
"1763",13
"1764",15
"1765",9
"1766",47
"1767",23
"1768",8
"1769",29
"1770",51
"1771",23
"1772",36
"1773",58
"1774",9
"1775",11
"1776",13
"1777",50
"1778",10
"1779",18
"1780",14
"1781",74
"1782",25
"1783",43
"1784",20
"1785",27
"1786",12
"1787",14
"1788",31
"1789",10
"1790",13
"1791",28
"1792",2
"1793",16
"1794",51
"1795",10
"1796",13
"1797",48
"1798",35
"1799",14
"1800",20
"1801",16
"1802",35
"1803",55
"1804",31
"1805",25
"1806",41
"1807",38
"1808",19
"1809",19
"1810",28
"1811",18
"1812",18
"1813",47
"1814",8
"1815",17
"1816",29
"1817",1
"1818",19
"1819",11
"1820",18
"1821",12
"1822",26
"1823",87
"1824",25
"1825",22
"1826",30
"1827",24
"1828",14
"1829",22
"1830",43
"1831",51
"1832",49
"1833",15
"1834",22
"1835",11
"1836",21
"1837",39
"1838",15
"1839",7
"1840",20
"1841",38
"1842",10
"1843",18
"1844",19
"1845",7
"1846",51
"1847",9
"1848",11
"1849",17
"1850",26
"1851",27
"1852",30
"1853",89
"1854",4
"1855",10
"1856",34
"1857",5
"1858",23
"1859",35
"1860",35
"1861",17
"1862",11
"1863",10
"1864",29
"1865",26
"1866",12
"1867",67
"1868",47
"1869",23
"1870",16
"1871",53
"1872",43
"1873",22
"1874",23
"1875",40
"1876",34
"1877",46
"1878",16
"1879",23
"1880",15
"1881",27
"1882",26
"1883",24
"1884",24
"1885",16
"1886",22
"1887",10
"1888",22
"1889",0
"1890",15
"1891",2
"1892",75
"1893",13
"1894",8
"1895",12
"1896",56
"1897",24
"1898",15
"1899",38
"1900",13
"1901",11
"1902",29
"1903",10
"1904",31
"1905",10
"1906",6
"1907",12
"1908",17
"1909",39
"1910",13
"1911",22
"1912",34
"1913",12
"1914",11
"1915",10
"1916",14
"1917",30
"1918",157
"1919",51
"1920",11
"1921",18
"1922",0
"1923",44
"1924",19
"1925",18
"1926",86
"1927",24
"1928",21
"1929",18
"1930",51
"1931",99
"1932",12
"1933",13
"1934",16
"1935",26
"1936",17
"1937",31
"1938",24
"1939",17
"1940",36
"1941",72
"1942",10
"1943",11
"1944",49
"1945",3
"1946",19
"1947",11
"1948",26
"1949",90
"1950",20
"1951",17
"1952",17
"1953",36
"1954",29
"1955",15
"1956",64
"1957",9
"1958",18
"1959",0
"1960",22
"1961",65
"1962",109
"1963",13
"1964",41
"1965",10
"1966",25
"1967",13
"1968",6
"1969",27
"1970",4
"1971",13
"1972",36
"1973",11
"1974",36
"1975",39
"1976",36
"1977",10
"1978",38
"1979",7
"1980",14
"1981",0
"1982",55
"1983",18
"1984",35
"1985",20
"1986",55
"1987",34
"1988",21
"1989",0
"1990",18
"1991",51
"1992",66
"1993",25
"1994",9
"1995",12
"1996",11
"1997",37
"1998",10
"1999",13
"2000",14
"2001",41
"2002",14
"2003",55
"2004",50
"2005",46
"2006",29
"2007",10
"2008",49
"2009",14
"2010",18
"2011",10
"2012",40
"2013",17
"2014",35
"2015",10
"2016",24
"2017",9
"2018",43
"2019",20
"2020",65
"2021",24
"2022",24
"2023",13
"2024",29
"2025",22
"2026",13
"2027",7
"2028",10
"2029",6
"2030",96
"2031",39
"2032",60
"2033",10
"2034",0
"2035",22
"2036",10
"2037",68
"2038",24
"2039",21
"2040",20
"2041",17
"2042",19
"2043",8
"2044",22
"2045",32
"2046",11
"2047",30
"2048",47
"2049",12
"2050",22
"2051",24
"2052",30
"2053",16
"2054",20
"2055",29
"2056",38
"2057",55
"2058",14
"2059",39
"2060",13
"2061",16
"2062",10
"2063",16
"2064",26
"2065",21
"2066",13
"2067",33
"2068",10
"2069",61
"2070",12
"2071",21
"2072",48
"2073",41
"2074",19
"2075",7
"2076",19
"2077",25
"2078",9
"2079",17
"2080",22
"2081",18
