"","x"
"1544",20
"1545",47
"1546",47
"1547",30
"1548",74
"1549",28
"1550",21
"1551",26
"1552",33
"1553",47
"1554",19
"1555",67
"1556",64
"1557",30
"1558",22
"1559",19
"1560",18
"1561",17
"1562",19
"1563",33
"1564",18
"1565",40
"1566",15
"1567",21
"1568",62
"1569",16
"1570",27
"1571",19
"1572",51
"1573",29
"1574",37
"1575",16
"1576",63
"1577",19
"1578",22
"1579",15
"1580",34
"1581",23
"1582",22
"1583",22
"1584",18
"1585",27
"1586",28
"1587",15
"1588",27
"1589",18
"1590",17
"1591",19
"1592",33
"1593",26
"1594",25
"1595",20
"1596",55
"1597",20
"1598",55
"1599",35
"1600",23
"1601",26
"1602",26
"1603",16
"1604",15
"1605",34
"1606",17
"1607",17
"1608",52
"1609",32
"1610",35
"1611",45
"1612",52
"1613",63
"1614",35
"1615",219
"1616",19
"1617",26
"1618",38
"1619",18
"1620",29
"1621",39
"1622",28
"1623",16
"1624",30
"1625",22
"1626",20
"1627",22
"1628",61
"1629",30
"1630",18
"1631",54
"1632",34
"1633",32
"1634",19
"1635",30
"1636",43
"1637",20
"1638",54
"1639",31
"1640",34
"1641",19
"1642",26
"1643",33
"1644",60
"1645",32
"1646",25
"1647",47
"1648",25
"1649",21
"1650",41
"1651",35
"1652",19
"1653",32
"1654",43
"1655",18
"1656",24
"1657",25
"1658",44
"1659",17
"1660",24
"1661",20
"1662",70
"1663",88
"1664",98
"1665",19
"1666",28
"1667",27
"1668",19
"1669",22
"1670",24
"1671",39
"1672",21
"1673",85
"1674",26
"1675",33
"1676",28
"1677",28
"1678",41
"1679",33
"1680",27
"1681",16
"1682",22
"1683",39
"1684",25
"1685",30
"1686",25
"1687",37
"1688",44
"1689",31
"1690",23
"1691",30
"1692",17
"1693",48
"1694",27
"1695",23
"1696",18
"1697",17
"1698",26
"1699",19
"1700",17
"1701",20
"1702",15
"1703",17
"1704",16
"1705",28
"1706",45
"1707",25
"1708",15
"1709",32
"1710",42
"1711",24
"1712",28
"1713",19
"1714",47
"1715",50
"1716",20
"1717",18
"1718",78
"1719",19
"1720",19
"1721",46
"1722",49
"1723",51
"1724",40
"1725",28
"1726",35
"1727",43
"1728",25
"1729",16
"1730",43
"1731",29
"1732",18
"1733",50
"1734",22
"1735",46
"1736",43
"1737",120
"1738",23
"1739",24
"1740",45
"1741",90
"1742",18
"1743",22
"1744",96
"1745",24
"1746",29
"1747",18
"1748",29
"1749",181
"1750",34
"1751",38
"1752",85
"1753",39
"1754",29
"1755",23
"1756",22
"1757",26
"1758",42
"1759",23
"1760",30
"1761",26
"1762",30
"1763",40
"1764",33
"1765",29
"1766",25
"1767",26
"1768",20
"1769",51
"1770",18
"1771",60
"1772",62
"1773",18
"1774",34
"1775",16
"1776",29
"1777",19
"1778",30
"1779",64
"1780",20
"1781",24
"1782",34
"1783",20
"1784",46
"1785",23
"1786",36
"1787",86
"1788",41
"1789",37
"1790",22
"1791",32
"1792",51
"1793",29
"1794",22
"1795",28
"1796",78
"1797",32
"1798",36
"1799",16
"1800",23
"1801",28
"1802",32
"1803",26
"1804",32
"1805",16
"1806",43
"1807",31
"1808",25
"1809",18
"1810",27
"1811",16
"1812",15
"1813",35
"1814",19
"1815",26
"1816",44
"1817",38
"1818",20
"1819",40
"1820",15
"1821",84
"1822",43
"1823",28
"1824",49
"1825",64
"1826",25
"1827",20
"1828",27
"1829",22
"1830",16
"1831",75
"1832",39
"1833",51
"1834",22
"1835",17
"1836",25
"1837",24
"1838",16
"1839",98
"1840",153
"1841",35
"1842",85
"1843",26
"1844",69
"1845",20
"1846",22
"1847",77
"1848",16
"1849",42
"1850",55
"1851",56
"1852",20
"1853",48
"1854",19
"1855",16
"1856",17
"1857",19
"1858",80
"1859",51
"1860",43
"1861",15
"1862",17
"1863",80
"1864",38
"1865",24
"1866",37
"1867",43
"1868",26
"1869",36
"1870",50
"1871",40
"1872",42
"1873",24
"1874",79
"1875",37
"1876",16
"1877",38
"1878",17
"1879",42
"1880",30
"1881",20
"1882",34
"1883",42
"1884",22
"1885",18
"1886",28
"1887",27
"1888",17
"1889",25
"1890",27
"1891",29
"1892",27
"1893",70
"1894",77
"1895",48
"1896",16
"1897",35
"1898",17
"1899",31
"1900",21
"1901",19
"1902",28
"1903",36
"1904",16
"1905",82
"1906",25
"1907",26
"1908",29
"1909",31
"1910",110
"1911",56
"1912",16
"1913",42
"1914",36
"1915",19
"1916",26
"1917",57
"1918",62
"1919",24
"1920",23
"1921",33
"1922",20
"1923",34
"1924",15
"1925",25
"1926",29
"1927",54
"1928",19
"1929",35
"1930",34
"1931",90
"1932",23
"1933",27
"1934",20
"1935",47
"1936",28
"1937",37
"1938",125
"1939",26
"1940",19
"1941",19
"1942",35
"1943",15
"1944",19
"1945",22
"1946",25
"1947",33
"1948",35
"1949",18
"1950",48
"1951",25
"1952",102
"1953",109
"1954",27
"1955",90
"1956",73
"1957",145
"1958",29
"1959",31
"1960",24
"1961",28
"1962",48
"1963",16
"1964",43
"1965",16
"1966",69
"1967",18
"1968",18
"1969",80
"1970",29
"1971",17
"1972",43
"1973",31
"1974",18
"1975",75
"1976",34
"1977",29
"1978",56
"1979",15
"1980",47
"1981",72
"1982",98
"1983",39
"1984",21
"1985",24
"1986",31
"1987",20
"1988",21
"1989",105
"1990",58
"1991",93
"1992",18
"1993",20
"1994",28
"1995",35
"1996",19
"1997",27
"1998",34
"1999",15
"2000",16
"2001",18
"2002",19
"2003",37
"2004",65
"2005",61
"2006",69
"2007",29
"2008",61
"2009",50
"2010",32
"2011",28
"2012",16
"2013",34
"2014",24
"2015",33
"2016",47
"2017",34
"2018",23
"2019",29
"2020",32
"2021",18
"2022",25
"2023",21
"2024",29
"2025",21
"2026",47
"2027",17
"2028",36
"2029",20
"2030",24
"2031",56
"2032",40
"2033",48
"2034",24
"2035",20
"2036",19
"2037",21
"2038",38
"2039",67
"2040",17
"2041",21
"2042",51
"2043",29
"2044",20
"2045",26
"2046",15
"2047",57
"2048",30
"2049",36
"2050",29
"2051",23
"2052",53
"2053",54
"2054",65
"2055",32
"2056",61
"2057",17
"2058",24
"2059",25
"2060",15
"2061",15
"2062",23
"2063",81
"2064",15
"2065",27
"2066",22
"2067",33
"2068",25
"2069",34
"2070",32
"2071",22
"2072",27
"2073",15
"2074",51
"2075",99
"2076",73
"2077",67
"2078",22
"2079",306
"2080",25
"2081",16
"2082",46
"2083",76
"2084",42
"2085",42
"2086",24
"2087",38
"2088",23
"2089",18
"2090",19
"2091",26
"2092",29
"2093",33
"2094",87
"2095",15
"2096",17
"2097",41
"2098",19
"2099",34
"2100",15
"2101",29
"2102",16
"2103",40
"2104",32
"2105",25
"2106",17
"2107",32
"2108",22
"2109",25
"2110",38
"2111",23
"2112",29
"2113",18
"2114",45
"2115",91
"2116",17
"2117",57
"2118",16
"2119",35
"2120",18
"2121",37
"2122",39
"2123",31
"2124",21
"2125",16
"2126",18
"2127",20
"2128",15
"2129",20
"2130",68
"2131",107
"2132",16
"2133",15
"2134",39
"2135",68
"2136",22
"2137",16
"2138",21
"2139",22
"2140",117
"2141",107
"2142",20
"2143",27
"2144",32
"2145",19
"2146",25
"2147",16
"2148",58
"2149",26
"2150",33
"2151",48
"2152",20
"2153",15
"2154",52
"2155",44
"2156",35
"2157",38
"2158",82
"2159",33
"2160",15
"2161",18
"2162",26
"2163",43
"2164",38
"2165",20
"2166",18
"2167",27
"2168",18
"2169",38
"2170",111
"2171",36
"2172",23
"2173",23
"2174",31
"2175",35
"2176",23
"2177",36
"2178",30
"2179",18
"2180",18
"2181",27
"2182",175
"2183",27
"2184",38
"2185",19
"2186",26
"2187",24
"2188",32
"2189",20
"2190",26
"2191",38
"2192",37
"2193",27
"2194",15
"2195",18
"2196",28
"2197",18
"2198",69
"2199",38
"2200",24
"2201",54
"2202",22
"2203",47
"2204",19
"2205",16
"2206",63
"2207",24
"2208",19
"2209",18
"2210",33
"2211",38
"2212",38
"2213",29
"2214",15
"2215",15
"2216",69
"2217",40
"2218",18
"2219",23
"2220",35
"2221",58
"2222",27
"2223",146
"2224",23
"2225",21
"2226",19
"2227",104
"2228",17
"2229",18
"2230",21
"2231",31
"2232",84
"2233",20
"2234",57
"2235",33
"2236",17
"2237",18
"2238",26
"2239",43
"2240",25
"2241",22
"2242",15
"2243",45
"2244",17
"2245",31
"2246",23
"2247",17
"2248",38
"2249",37
"2250",38
"2251",16
"2252",17
"2253",30
"2254",35
"2255",53
"2256",27
"2257",32
"2258",55
"2259",21
"2260",40
"2261",26
"2262",25
"2263",25
"2264",38
"2265",32
"2266",17
"2267",102
"2268",20
"2269",58
"2270",26
"2271",15
"2272",17
"2273",67
"2274",15
"2275",20
"2276",25
"2277",18
"2278",27
"2279",30
"2280",15
"2281",15
"2282",16
"2283",38
"2284",43
"2285",16
"2286",28
"2287",37
"2288",20
"2289",80
"2290",18
"2291",28
"2292",34
"2293",25
"2294",20
"2295",28
"2296",16
"2297",19
"2298",15
"2299",41
"2300",16
"2301",59
"2302",24
"2303",58
"2304",33
"2305",50
"2306",22
"2307",29
"2308",16
"2309",16
"2310",24
"2311",23
"2312",51
"2313",51
"2314",17
"2315",18
"2316",34
"2317",47
"2318",18
"2319",147
"2320",21
"2321",22
"2322",48
"2323",48
"2324",72
"2325",16
"2326",73
"2327",16
"2328",17
"2329",26
"2330",15
"2331",45
"2332",35
"2333",19
"2334",103
"2335",89
"2336",17
"2337",30
"2338",19
"2339",60
"2340",15
"2341",24
"2342",46
"2343",25
"2344",24
"2345",33
"2346",28
"2347",26
"2348",18
"2349",18
"2350",28
"2351",27
"2352",24
"2353",36
"2354",48
"2355",27
"2356",40
"2357",37
"2358",37
"2359",51
"2360",117
"2361",16
"2362",50
"2363",57
"2364",28
"2365",29
"2366",28
"2367",20
"2368",18
"2369",17
"2370",45
"2371",45
"2372",16
"2373",20
"2374",38
"2375",15
"2376",30
"2377",28
"2378",27
"2379",48
"2380",37
"2381",22
"2382",27
"2383",24
"2384",21
"2385",24
"2386",37
"2387",37
"2388",18
"2389",30
"2390",23
"2391",21
"2392",76
"2393",25
"2394",93
"2395",21
"2396",21
"2397",19
"2398",15
"2399",16
"2400",30
"2401",27
"2402",27
"2403",27
"2404",24
"2405",22
"2406",24
"2407",16
"2408",37
"2409",38
"2410",35
"2411",15
"2412",45
"2413",15
"2414",19
"2415",28
"2416",31
"2417",22
"2418",51
"2419",55
"2420",22
"2421",23
"2422",33
"2423",19
"2424",24
"2425",59
"2426",35
"2427",22
"2428",16
"2429",26
"2430",45
"2431",26
"2432",36
"2433",40
"2434",21
"2435",25
"2436",17
"2437",41
"2438",26
"2439",30
"2440",15
"2441",43
"2442",66
"2443",36
"2444",65
"2445",71
"2446",21
"2447",44
"2448",22
"2449",36
"2450",30
"2451",38
"2452",31
"2453",22
"2454",16
"2455",34
"2456",21
"2457",27
"2458",23
"2459",18
"2460",59
"2461",65
"2462",26
"2463",30
"2464",21
"2465",21
"2466",29
"2467",32
"2468",47
"2469",41
"2470",34
"2471",28
"2472",37
"2473",17
"2474",29
"2475",36
"2476",59
"2477",68
"2478",33
"2479",18
"2480",33
"2481",52
"2482",42
"2483",33
"2484",23
"2485",18
"2486",18
"2487",78
"2488",28
"2489",47
"2490",23
"2491",18
"2492",19
"2493",18
"2494",21
"2495",52
"2496",39
